source,name,ein,city,state,category,url,homepage_title,homepage_description,homepage_keywords,phone,email,address,social_media,programs,donation_link,last_scraped
"ProPublica","Karen K St John Charitable Educatio Education Trust","456691848","Appleton","WI","T20","https://projects.propublica.org/nonprofits/organizations/456691848","Karen K St John Charitable Educatio Education Trust - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:33.645Z"
"ProPublica","San Joaquin County Office Of Education Educational Foundation","680342748","Stockton","CA","B122","https://projects.propublica.org/nonprofits/organizations/680342748","San Joaquin County Office Of Education Educational Foundation - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:34.806Z"
"ProPublica","Education Incubator","815155325","Honolulu","HI","B05","https://projects.propublica.org/nonprofits/organizations/815155325","Education Incubator - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:35.944Z"
"ProPublica","Earth Education","921660612","Santa Fe","NM","U30","https://projects.propublica.org/nonprofits/organizations/921660612","Earth Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:37.024Z"
"ProPublica","Education Minnesota Freshwater Education District","203260772","Staples","MN","J40","https://projects.propublica.org/nonprofits/organizations/203260772","Education Minnesota Freshwater Education District - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:38.103Z"
"ProPublica","Underdog Education","333818115","Cedar City","UT","B82","https://projects.propublica.org/nonprofits/organizations/333818115","Underdog Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:39.178Z"
"ProPublica","Education Services Consulting","461003745","Lafayette","CO","Z99","https://projects.propublica.org/nonprofits/organizations/461003745","Education Services Consulting - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:40.261Z"
"ProPublica","Florida Education Association","800553107","Alva","FL","","https://projects.propublica.org/nonprofits/organizations/800553107","Florida Education Association - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:41.332Z"
"ProPublica","Illinois Education Association","371269707","Edwardsville","IL","","https://projects.propublica.org/nonprofits/organizations/371269707","Illinois Education Association - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:42.416Z"
"ProPublica","Illinois Education Association","352386358","Lombard","IL","","https://projects.propublica.org/nonprofits/organizations/352386358","Illinois Education Association - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:43.494Z"
"ProPublica","Uplift Education","752659683","Dallas","TX","B20Z","https://projects.propublica.org/nonprofits/organizations/752659683","Uplift Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:44.619Z"
"ProPublica","Rocketship Education","204040597","Redwood City","CA","B29","https://projects.propublica.org/nonprofits/organizations/204040597","Rocketship Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:45.771Z"
"ProPublica","Education Minnesota","411916882","Saint Paul","MN","J40","https://projects.propublica.org/nonprofits/organizations/411916882","Education Minnesota - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:46.967Z"
"ProPublica","Cambiar Education","813508420","San Diego","CA","B90","https://projects.propublica.org/nonprofits/organizations/813508420","Cambiar Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:48.071Z"
"ProPublica","Orenda Education","742774612","Georgetown","TX","F20","https://projects.propublica.org/nonprofits/organizations/742774612","Orenda Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:49.200Z"
